state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage,all_pediatric_inpatient_bed_occupied,all_pediatric_inpatient_bed_occupied_coverage,all_pediatric_inpatient_beds,all_pediatric_inpatient_beds_coverage,previous_day_admission_pediatric_covid_confirmed_0_4,previous_day_admission_pediatric_covid_confirmed_0_4_coverage,previous_day_admission_pediatric_covid_confirmed_12_17,previous_day_admission_pediatric_covid_confirmed_12_17_coverage,previous_day_admission_pediatric_covid_confirmed_5_11,previous_day_admission_pediatric_covid_confirmed_5_11_coverage,previous_day_admission_pediatric_covid_confirmed_unknown,previous_day_admission_pediatric_covid_confirmed_unknown_coverage,staffed_icu_pediatric_patients_confirmed_covid,staffed_icu_pediatric_patients_confirmed_covid_coverage,staffed_pediatric_icu_bed_occupancy,staffed_pediatric_icu_bed_occupancy_coverage,total_staffed_pediatric_icu_beds,total_staffed_pediatric_icu_beds_coverage,date,Demo | State Geographic Boundaries
AK,1,7,13,1,17,3,0,10,1333,21,1012,21,8,10,3,21,0,10,0,21,0,10,81,21,0,12,0,21,8,10,10,21,0,10,0,21,126,21,0.759189797449362,21,1012,1333,0.012345679012346,10,8,648,0.009389671361502,10,8,852,0,12,0,86,0.642857142857143,21,81,126,,0,21,0,19,0,19,1,19,0,19,0,19,2,19,0,19,0,21,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,0,0,0,0,0,0,21,0,21,0,9,0,9,0,0,8,21,39,21,75,21,0,21,0,19,0,19,0,21,0,21,6,21,7,21,08/19/2023 12:00:00 AM,
CO,0,25,68,0,74,19,10,40,10299,93,6647,93,86,38,24,93,17,42,1,91,0,38,765,93,16,38,13,93,81,38,85,93,5,38,5,91,1276,93,0.64540246625886,93,6647,10299,0.023093447905478,38,86,3724,0.013694267515924,38,86,6280,0.019826517967782,38,16,807,0.599529780564263,93,765,1276,,0,93,3,85,3,85,3,85,1,85,5,85,5,85,9,85,0,93,0,41,2,41,0,41,2,41,3,41,5,41,3,41,2,41,0,41,0,35,50,233,22,0,0,0,0,93,0,93,0,30,0,30,0,0,30,93,384,91,685,91,0,91,1,83,0,83,0,91,1,91,62,91,102,91,08/19/2023 12:00:00 AM,
GA,3,15,122,2,100,38,8,44,20274,139,15286,139,251,40,82,140,25,45,6,137,40,42,1886,140,33,41,74,140,208,40,479,140,43,41,23,137,2455,140,0.753970602742429,139,15286,20274,0.040140732448425,40,251,6253,0.030729676787463,40,251,8168,0.028645833333333,41,33,1152,0.768228105906314,140,1886,2455,,1,139,1,134,7,134,5,134,5,134,16,134,18,133,26,135,3,140,1,45,1,44,2,44,1,44,2,44,4,44,8,44,6,44,0,45,0,29,33,0,32,0,0,0,66,140,1,140,0,40,0,40,88,0,40,140,857,137,1313,137,4,137,0,131,2,131,0,137,1,137,274,137,385,137,08/19/2023 12:00:00 AM,
SD,0,0,62,0,52,10,0,7,2036,62,1303,62,2,7,5,62,0,10,0,59,0,7,124,62,0,7,2,62,2,7,16,62,0,7,0,59,224,62,0.639980353634578,62,1303,2036,0.00625,7,2,320,0.005115089514066,7,2,391,0,7,0,75,0.553571428571429,62,124,224,,0,61,0,50,0,49,0,49,0,49,0,49,2,49,3,50,0,62,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,,0,157,,66,0,,0,0,62,1,62,0,1,0,1,1,0,1,62,42,59,107,59,0,58,0,46,0,45,0,59,0,59,0,59,10,59,08/19/2023 12:00:00 AM,
MO,2,18,97,19,65,33,11,53,14411,117,11677,117,326,52,37,117,96,56,3,113,4,50,1316,117,50,52,32,117,310,52,230,117,16,52,8,113,1703,117,0.810283810977725,117,11677,14411,0.043612040133779,52,326,7475,0.036948883599683,52,326,8823,0.043744531933508,52,50,1143,0.772753963593658,117,1316,1703,,1,116,2,109,0,109,2,108,0,109,8,109,9,109,15,110,0,117,0,55,3,55,7,55,6,55,8,55,22,55,31,55,19,55,0,55,2,40,56,0,0,0,0,0,2,117,1,117,0,42,0,42,11,0,42,117,656,113,906,113,2,113,1,105,0,105,0,113,0,113,156,113,221,113,08/19/2023 12:00:00 AM,
OR,0,13,47,1,38,21,3,29,6484,59,4838,59,80,22,20,60,14,29,0,58,0,27,445,60,12,31,13,60,109,27,126,60,1,22,2,58,643,60,0.746144355336212,59,4838,6484,0.044692737430168,22,80,1790,0.032401782098015,22,80,2469,0.032258064516129,31,12,372,0.692068429237947,60,445,643,,0,60,2,57,1,57,0,57,4,57,1,57,4,57,7,57,1,56,0,29,2,29,2,29,0,29,2,29,3,29,3,29,2,29,0,29,4,31,902,0,97,0,0,0,0,60,0,60,0,30,0,30,2,0,26,60,227,58,371,58,0,58,0,55,0,55,0,54,0,58,14,58,22,58,08/19/2023 12:00:00 AM,
MS,0,5,95,1,89,10,0,19,7564,100,4896,100,59,16,38,100,0,47,1,98,0,18,527,100,7,16,20,100,59,16,145,100,0,16,4,98,711,100,0.647276573241671,100,4896,7564,0.040273037542662,16,59,1465,0.022709776751347,16,59,2598,0.042424242424242,16,7,165,0.741209563994374,100,527,711,,0,98,0,92,2,92,4,92,2,92,6,92,9,94,15,92,0,100,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,18,24,30,37,0,0,0,5,100,5,100,0,14,0,14,27,5,14,100,185,98,323,98,1,98,0,91,0,91,1,97,0,98,48,98,60,88,08/19/2023 12:00:00 AM,
WY,0,0,29,2,20,7,0,20,1343,29,589,29,2,21,4,29,3,23,0,27,0,21,45,29,2,21,1,29,2,21,8,29,0,21,0,27,107,29,0.438570364854803,29,589,1343,0.005797101449275,21,2,345,0.002392344497608,21,2,836,0.033898305084746,21,2,59,0.420560747663551,29,45,107,,0,29,0,29,0,29,1,29,0,29,0,29,1,29,2,29,0,29,0,23,0,23,0,23,0,23,0,23,1,23,2,23,0,23,0,23,0,16,2,,99,0,,0,0,29,0,29,0,1,0,16,0,0,1,29,7,27,25,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,08/19/2023 12:00:00 AM,
IL,2,51,122,3,138,34,2,69,27837,175,18402,175,196,72,76,175,34,79,7,170,7,69,1830,175,25,70,38,175,177,72,291,175,19,72,18,170,3072,175,0.661062614505873,175,18402,27837,0.024131987195272,72,196,8122,0.015905217885255,72,196,12323,0.01905487804878,70,25,1312,0.595703125,175,1830,3072,,1,172,1,162,4,162,4,163,12,164,13,163,18,164,23,163,0,174,0,76,0,75,2,75,3,75,6,75,7,75,5,75,10,75,1,76,0,64,133,993,0,0,0,0,2,175,5,175,0,50,0,50,18,0,51,175,815,170,1361,170,5,170,2,157,0,158,0,168,4,170,365,170,576,170,08/19/2023 12:00:00 AM,
MD,12,11,27,14,25,11,5,28,9868,50,7919,50,598,29,28,50,59,30,2,49,6,29,789,50,95,29,13,50,570,29,172,50,28,29,5,49,1145,50,0.802492906364005,50,7919,9868,0.115958890828001,29,598,5157,0.095725948455259,29,598,6247,0.12434554973822,29,95,764,0.689082969432314,50,789,1145,,0,50,3,49,2,49,1,49,2,49,6,49,3,49,10,49,1,50,0,30,2,30,4,30,5,30,4,30,18,30,16,30,10,30,0,30,0,27,214,45,45,0,0,0,0,50,0,50,0,27,1,27,2,0,27,50,267,49,481,49,2,49,0,48,0,48,0,49,0,49,14,49,17,49,08/19/2023 12:00:00 AM,
